Text,Sentiment
mere jaisay paseenay walay haath walay logon ke liye thumb stick girift bohat achi hai mera anghutha hamesha chhari se waisay hi phisal jata tha lekin shukar hai ke yeh paseenay ke angothay ke sath bhi mazboot girift muhayya karta hai mazeed yeh ke mein yeh haqeeqat pasand karta hon ke jab aap pehli jori pehantay ho tu aik izafi jori bhi shaamil hoti hai mere kntrolr ke ilawa achh addition izafay ki wajah se khud hi chhari ki majmoi zindagi bhi barh jati hai,1
ya phone wakai bhot acha hai,2
bhot acha phone h khaas tor b fringer print sensor aur daul cam,2
audio ki quality bhot achi hai aur base b,0
audio bas wali h aur case ki quality bhi achi h,0
achi quality aur achi awaz hai maza aya istemaal kar k,0
iss ki keemat kaam aur bhot achi chez h us sy ziyda hai jo may ny mangi thi,0
saaf awaz aur achi base bhot achi qualty k sath,0
ya acha nai hai bhot mayoos kya inflix ny inflix samrt bhot acha hai smart  sy,2
iss keemat may range awaz ki bht buri hai,1
aik din may product mil gya orignal seal tha aur price b kaam thi market sy,1
ya sb sy acha phne h ab tk,2
hbl feast sy phone lya jo bhot acha hai,2
daraz ke zareya zabardast khidmat mera package  din ke andar mousool hogaya aur mobile  uine haqeeqi aur sale tha jis cheez ne mujhe sab se ziyada pareshan kya shabash daraaz,0
ya acha tajurba hai daraz sy chezy leny ka,0
arrey nokia team mera naam muther ahmed hai aur mere paas youtube channel hai aur mein aap ki masnoaat ka jaiza lena chahta hon mera youtube video youtu bay yvwthmig ka link yeh hai mera  mil,2
awaz achi bettery timing b achi hai zaoor kharedy,0
bhot acha h ya quality b bht achi hai aur battery timing b,0
yeh waqai aik acha phone hai screen karkardagi khususiyaat camera aawaz battery sab bohat achay hain baichnay wala bhi bohat taawun karta hai,0
islamabad mein aik din ke andar yeh aala masool sun hwa,0
shandaar phone khaas tor par qeemat di gayi hai aik karkardagi ka muzahira karne wala janwar aur dish charger ke sath adhay ghantay ke muawzay mein aik din ke liye jana achchhaa hai zabardast  taiz sun hwa chehra aur finger print  stock android tajurbah ke qareeb waqai parcham bardaar qaatil honay ke liye saakh ke mustahiq hain,2
mein ny aaj yeh phone khareeda hai aur yeh iss behtareen phone hai jo aap ko iss budget mein mil sakay ga behtareen karkardagi kaam roshni wali soorat e haal mein kamera itna achchca nahi hai warna aik achchca soda hai,0
mein ne abhi yeh phone khareeda hai aur mein iss ki karkardagi se waqai herat zada hon ke lafzi phone kabhi hang nahi hota hai  jee bi reem aur camera quality wala snap drign processor bhi kaafi herat angaiz hai ab chunkay hum mein se bohat se logon ne yeh phone khareeda hai mein sirf umeed karsaktha hon ke iss ki market value barqarar hai sab kuch bohat achchca hai mein iss ki tawaqqa nahi kar raha tha ke bohat si khususiyaat ki lafzi tor par iss ne bohat saaray aadaab mein aayi phone x ko shikast di hai,0
mein ne aik saal ki guarantee ke sath yeh pakd box mein haasil kya hai lekin yeh sale phone thora sa mehanga hai yeh pachaas kilometer ke lag bhag hona chahiye,1
one plus  tea ko budget ke parcham bardaar qaatil ke tor par jana jata hai kya baat hai agar iss ki qeemat itna hi hai jitna aik parcham bardaar qeemat ziyada se ziyada  k ke lag bhag honi chahiye,1
mein ne usay sirf  din mein khareeda hai iss se pehlay ke k aan dd mein ab iss ki qeemat mayoos kin hai,1
mujhe yeh behtareen thanda  free miyaar ka mila hai achi awaz,0
yeh air phone bohat acha hai aur yeh sanchay bhi bohat achay miyaar ki hai,0
yeh super bees  free behtareen hai yeh waqai super  bees mean hai iss se pyar karen,0
awaz aur khatam herat angaiz tha,0
herat angaiz choti choti cheeze zabardast bus aur zabardast awaz shukriya,0
caring case rakhna aik achi cheez thi aur mein aisi cheez talaash kar raha tha jaisay mein ne case nah honay ki wajah se apne beshtar  ko kho diya tha wazeh awaz aur bus ki aik achi miqdaar ke sath audio ka miyaar bhi achchhaa tha lekin koi maskh nahi sun hwa tha aur kaan ke tukre dhaat ke murakkab se banay thay jo aik achchhaa lams tha aur itni achi qeemat ke l eay mein usay har iss shakhs ko wapas karta hon jo up grade karna chahta hai ya un ke puranay  ko tabdeel karen mayk ka miyaar bhi bohat wazeh tha aur cal same up button mere simsng s  ke sath bhi kaam karta tha,1
ya  hazar may b mil sakta hai,2
acha kaam kar rha hai slim hai aur features b thek hai,0
mujhe kal phone mila packing behtareen thi aur lawazmaat bilkul theek thay mein ne raat ko apne phone ko charge kya aur ab aaj yeh charging cable kaam nahi kar rahi hai mein bohat mayoos sun hwa,1
phone thek hai lakin processor kfi high quality ka hai,1
phone acha hai lakin infinix ki bttery kaam hai,1
ground lick round karnrz light uch d uch d daraz ki kharidari lekin bohat hi battery battery sirf  ghantay chalti hai,0
haae mein iss ki masnoaat ko bohat pasand karta hon agar aap mujhe muft namona bhaijtay hain tu mein iss numeral ko apne facebook account aur apne youtube channel par farogh day sakta hon,0
mry kuwaish hai k ya phone liay lo,2
daraz ke zareya usay dost ke l for pareshan kya woh iss se mohabbat kar raha hai battery ka waqt achh aa hai aik din mein aik hi charge ziyada rehta hai dono  samnay aur peechay  kimps ke camera nateeja ko pasand kya,0
pasy poori hoya may zaroor kaho ga k ya phone liay lo,2
may ny note  liay hai lki usk auto rotaate aur gysro sensor kaam ny kar raha sai sy,2
jaldi mil gya aur phone b acha tha shukriya daraz,0
sb kuch iss phone may bhot acha hai,0
agli din mila bhot achi quality hai shape b achi aur bki sb bhot acha hai,0
may ny  july ko order kya tha aur  ko mil gya bhot acha phone hai,0
july ko iss phone ka hukum diya  july ki subah usay masool sun hwa sab kuch bilkul kaam kar raha hai aur iss ka back cover bhi mila jis ki mujhe tawaqqa nahi thi masnoaat ki khidmat aur miyaar se bohat khush hon,0
ya bilkul cahrge ny kar rha aur waha likha tha k acha charge karta hai mujhy pasy wapis chya hai,2
bura hai kaam nai kar rha buri baat daraz,1
ya   incha ka hai acha kaam kar rha hai,0
quality ur pasay bhot achya hai,1
wire ki lengh b thek hai aur quality b achi hai,0
yeh herat angaiz phone hai  design sab se acha hissa tarseel ka waqt tha mein nay usay sah pehar teen bujey order kya aur aglay din dopehar  bujey pouncha diya gaya,0
mein nu muwasilat  se nokia  aur iss ke lawazmaat khareed raha hon aur wahan mujhe bohat hi kaam waqt muhayya hota hai aur numeral tawaqqa se ziyada aur behtar hai,0
nokai  bhot bura phone h storage nai h iss may apni pasy waste na karo iss p,1
mera phone band ho gya aik hafta usay k bd,1
aik majmoi tor par uch good tajurbah jaisay ke phone mein mazkoorah baala tafseelaat aur khususiyaat se bhar poor andaaz mein masool hota hai shukriya daraz aur tally naar,0
aik hafta ke sath mein ne meri masnoaat haasil ki umdah  aur taiz khidmat mein munasib qeemat mein iss numeral se bohat mutmaen hon mein daraz ka bohat mashkoor hon,0
achi qulity ka phone hai aur keemat b kaafi kaam hai,0
mobile v good hai yeh pesey mein sasta aur miyaar mein aaccha hai aik sasta mobile honay ke ilawa mobile mein  aam pi back aur  aam pi front kamera hai mobile mein  version have hai yeh aik achi alamat hai kyunkay sastay mobile mein  version get milna nayab hai mein   hon mein nai mobile ka tajurbah kya hai yeh bohat aaccha hai iss mein  jee bi room hai aur  jee bi raam aam mobilon ki terhan isi terhan ke deegar mobile  taq hain aap ko usay khareedna chahiye,0
varnti card aur har cheez mein ab tak sab se oopar hai,0
achi keemat bank alflah discount b di rha hai,0
mein nay pehlay  thisishypenhere garam   thisishypenhere garam  aur  thisishypenhere note  khareed liya mere aakhri tajarbay ke mutabiq yeh garam shehwat angaiz  piro behtareen hoga,0
mein chnyot se aakhri qareeb order karta hon aur aglay hi din order wusool karta hon  asli aur mukammal tor par pack hai,1
acha phone hai lakin mila thori dar sy hai,1
kaafi acha phone hai aur features b achay hai,0
box mein muhafiz behtareen miyaar ka nahi hai yeh sheeshay ka muhafiz nahi hai daraz dot pi ke par  show glass,0
uuuuuururrvvvl mera naya phone bomb chashmi  herat angaiz qeemat nuqta aur mujhe khobsorat flask aur khobsorat muqarareen bhi pasand hain jo iss ke sath tohfay ke tor par aye thay,0
daraz sy khareda hai aur may bhot mutmain ho iss sy,0
ya sb sy acha phone hai infinix k sb phones may sy,1
star  mega battery  ke liye jo aap baar baar chattaan karte hain,2
din may aa gia h aur speed bhi achi h price k lia,1
ya cable mry phone ko jaldi charge nai kar rhi,2
din may mila aur sai kaam kar rha hai,0
speed achi hai aur kaam b bhot achi sy kar rha hai,0
may ny new phone aur ie bhot acha kaam kar rha hai,0
may ny iss ko istematl kya aur acha kaam kar rha ya,0
aam aayi note  bohat sust charge hai aur iss mein  ghantay se ziyada waqt hai sale charging ke douran yeh bohat garam hai lehaza larke kharidari se pehlay sochte hain aur ost set bhi karte hain lekin daraz pk khidmat bohat achi hain,0
sb kuch bhot acha aur camra bs thek hi h,0
yeh bohat acha hai aur umdah mobile daraz bohat mufeed app hai mein bohat khush hon daraz pk daraz pk ke zariye sab se barray  malik mein mobile khareedna,0
bhot achi wakt p mil gya hai aur ie deal b bhot achi hai,0
mujhy mia chya kya aap mujhy asan kisto p di sakti hai,2
may ya phone salo sy istemaal kar rhi ho ur ya acha phone h rozana istemaal k lya,0
acha phone hai lakin mujhy kaam keemat p chya,1
mein ne pi  khareeda hai yeh acha mobile hai lekin ab iss ke software ko up date karne ke baad mere paas  jee bi mein se sirf  jee aam free mimori hai yeh karkardagi aur battery ke waqt mein acha mobile hai,0
ki tamam masnoaat ki alla sahet yabi se un ki qeematon mein khobsorat chashmi hai lekin mein delivery service se khush nahi hon daraz express numeral ki farahmi mein taqreeban aa aik hafta laga lehaza angothay iss ke neechay aa jayen,0
iss hadd mein achh build bil build quality kamera karkardagi aur battery ka waqt rakhnay wala behtareen phone iss terhan ki masnoaat ko mota arif karwnay ke liye usay daraz team ko jari rakhen,0
acha phone h kaam price may camera bs thek hai aur processor b kaafi fast hai,0
signal ayntina iss phone se kamzor hai camera ost se bhi kaam hai sab se achi cheez triple slat tray hai,0
ya phone bhot acha hai touch kaafi s mooth hai,0
ya bhot acha phone hai koi bt ny agar china ka bana h tu baki wsy acha phone hai,2
may bhot heeran ho inn ki prodect bejhny ki speed sy aur product b bhot achi haalat may hai,0
yeh aik herat angaiz mobile hai mein ne pehlay hi aik khareed liya hai aur istemaal kar raha hon iss ko hbl shop feast mein khareedain iss terhan ke herat angaiz discount shopping fistyol ki paish kash par daraz ka shukriya,0
mein guzashta  saloon se  honor  si istemaal kar raha hon lekin mustaqbil qareeb mein mera programme  note  ai khareedna hai jo kaam qeemat mein acha phone hai,1
mein aaj ke ird gird   par order deta hon  ghanton mein numeral masool sun hwa bohat jald dilyori service daraz pk se discount ke sath  kehte hain mein iss numeral ki karkardagi se khush hon lekin iss ke kamera performance se mayoos hon warna mein dosaron ko bhi iss qeemat mein iss ki qeemat ada karne ki tajweez karta hon shukriya,1
acha hai lakin keemat kai ziyda h iss ki,0
mein simsng aur phir aayi phone ka sarif tha lekin iss ke baad mein koi dosra phone khareedna pasand nahi karta one plus bohat hi zabardast hai,0
acha product hai lkin back cover nai mila galss b aur handfree b ny h,0
mehangay honay par tanqeed karne walon ko yeh maloom hona chahiye ke one plus ke paas pakistan mein koi store frnchayz nahi hai aur usay daraamad karne mein paisa lagta hai iss ka chehra lock hai aur finger print scanning dosray number par hai  yeh aayi phone x ki nisbat chehra lock ka istemaal karte hue taizi se khoola hai   azeem hain sab kuch yeh aik hewan hai,0
waqai mein kya aik mobile har pehlu se bilkul durust hai lekin qeemat  jee bi raam aur  jee bi bohat asan hain,0
achi chez hai lakin delivery slow hai back cover aur glass nai mila,1
mehanga honay ke bawajood aur isi terhan ki chashmi  mili meter ke bawajood iss ki gimng salahiyaton ne usay taweel faaslay se shikast di hai lehaza gimng ke l eay mein kisi aur phone ki sifarish nahi karta hon qeemat thori ziyada hai lekin  jee bi internal aur head phone jack bara plus hai,1
aik mahinay se iss phone ka istemaal karte hue kabhi kabhi ta attul ka saamna nahi karna para battery ki zindagi bohat hi umdah hai dekho aur mehsoos karna bohat aaccha hai mujhe lagta hai ke yeh sayarah par apne behtareen phone w r t par har pehlu par hai,0
iss qeemat mein zabardast phone great kamera aur battery ka timing sirf chand hi ghanton mein free dilyori,0
bohat achi pi each aan ki speed achi lekin bohat achay camera jaisay charge karne par bohat garam,0
bhot achi speed hai product pouchany ki tcs k zariya aur  stars delivery k lya aur phone k lya b,0
agar aap pakistan mein dastyab qeemat ke tehat iss ki khususiyaat ko dosray sab se mawazna karte hain tu aap ko khardney ke liye aik wajah mil jaye gi,0
start delivery k lya aur  star phone k lya,1
pakistan mein kisi bhi phone ke liye super fast delivery umdah phone zabardast camera zabardast battery bardasht behtareen qeemat ki karkardagi ka tanasub,0
tarseel ke liye  setaaray jis mein  kaam ke din lagey majmoi tor par bohat acha budget wala phone hai jis mein umdah tamirati miyaar aur zabardast chashmi hai,0
bhot acha phone hai aur baki sb chezy b bhot achi hai,0
umdah tamirati miyaar lekin mera mahswara hai ke redmi  ke liye jana hai jis mein aik taaqatwar si pi you aur finger print sensor aur aik hi qeemat mein aylominim frame hai,1
bhot achi awaz hai battery b achi h,0
yeh aik aisa brand hai jis se mein bas itna pasand karta hon kamera battery aur karkardagi se herat angaiz mera mahswara  khareedne ke liye jana,0
mein nay yeh aala daraz par khareeda waqt par pouncha poori karkardagi aur achi nazar se poori terhan mutmaen mohabbat ka haath hai intehai halka wazan,0
amazing phone mein bohat taizi se processor aur internet acha auto fox kamera hai jo mein usay  mein kharidata hon,0
j mujhy handfree mili bhot achi hai shukriya daraz,0
mujhe yeh phone flash farokht mein sirf  rupay mein mila usay sirf aik din mein pohanchaya gaya khususiyaat herat angaiz hain rang achh aa hai  daraz aur smart link,0
bhot achi specs hai aur price b kaafi munasib hai,0
may nii khareed sakta offical launch iss ka,2
keemat bhot ziyda iss ki asal keemat  hai,0
mein daraz par iss ka bohat intzaar kar raha hon kyun ke aan plus  phone phone mein aik parcham bardaar qaatil aur ifrit hai,1
bhot acha camera h aur achi specs b hai iss keemat may,0
mein v khush hon iss se kahin ziyada meri umeed ki ja rahi thi mein online site se khareedne se gorezan tha lekin daraz zabardast nokari,0
thinks se daraz mein ne aaj waqt ki farahmi mein yeh behtareen aala umdah karkardagi achi screen resolution haasil kya,0
din may mila hai bhot acha phone hai,0
iss qeemat mein yeh sab se behtar hai jo mil sakta hai meet  se kahin ziyada behtar mohabbat you aam aayi aur thanx daraz,0
iss qeemat ki hadd mein sab se behtareen mobile yeh  f  ko bhi shikast day sakta hai jo  hai,0
iss meenat may bhot acha phone mila hai,0
jab yeh multi  ki baat aati hai tu yeh phone ghair mamooli hai aap split screen ki khasusiyat ko baghair kisi karkardagi ke hichki ke istemaal kar saktay hain neez yeh shayad sab se ziyada zaati noiyat ka phone hai jo mein nai kabhi istemaal kya hai user antrfis bohat lachak dar hai,1
imei num ny valid may ny wbsite p dekh tha lakin ya koi chez ny show krw rha,2
blue color afi acha hai aur baki chezy b iss keemat may achi mil gi h,0
may ny kal raat order kya aur aaj mil gya tha daraz ki service bhot achi hai,0
mujhy ya product kal mila kyu k ya lahore sy aaj nikala hi,2
mujhy bhot acha lagta ny aur mera phone ab rasty may hai,0
kya kisi ko ya phone mila h darz sy kyu k ya phely order ki list may show ho rha hai,1
mein nay yeh phone black friday par order kya tha lekin baad qismati se mujhe ziyada se ziyada riayat nahi mili phone ka miyaar paisa ke l aw zabardast aur behtareen qader hai sarkari partners smart link nay order ke aik ghanta mein hi order rawana kardiya  se mayoosi hui aur iss phone ko  kaam ke dinon mein pohanchaya shukriya daraz pk,0
aa bhot bara h aur weight may b ziyda hai apni tasveer sy,2
bhot acha phone hai kaam keemat may,0
yeh aala nabina afraad ke liye bohat madadgaar zareya hai kyunkay iss mein king voice ke naam se aik khusoosi software mojood hai jo google talk back ki terhan kaam karta hai aspikrz ka miyaar behtareen hai aur phone que mobile aur  mobilon ke bar aks   mili meter head phone ke jadeed version ki himayat karta hai air pees behtareen cal ka miyaar kirkira hai aur head phone out pitt behtareen hai iss qeemat ki hadd mein sastay mobile phones ke bar aks,0
bhot wight h iss ka piture may tu asa ny tha,2
phone bhot slow aur weight may ziyda hai,2
bari lcd aur battery b kaafi hai aur orignal hai,2
seems wala phone aur screen b bari hai,2
hum sab aimi note  ka intzaar kar rahay thay lekin bohat mayoos kin baat yeh hai ke hamein qeemat  jee bi aur  jee bi ki zaroorat hai lekin mein samjhta hon ke  jee bi aur  jee bi ke sath suit note karen ab mein usay nahi khareedon ga,1
gigs one ke muqablay mein yeh mukhtalif haalat bohat muashi hai,2
kyun  jee bi version farokht par nahi hai yeh ghair munsifana hai yeh  hona chahiye warna aap ki farokht bekar hai,1
aam aayi company tarteeb raam mobile  jee bi memory  jee bi company ke ohdedaron ki website ko dukhaay,2
iss qeemat ki hadd mein yeh aik behtareen phone hai jo khareed sakta hai iss phone ke mobile hafta mein qeematon ka taayun herat angaiz hai shukriya,0
yeh sab rangon mein sab se ziyada pasand kya jata hai  bhi iss rang ki sifarish karta hai,0
aizaz x aur dosray se behtareen mobile phone aur iss ka kamera bohat acha hai bijli ki roshni mein kaam haalat bohat taiz hai battery bohat barri hai,0
iss phone ke liye bohat ziyada aur good seller  communication ka bhi,0
qeemat ke hissay mein yeh phone kaafi hadd tak paish karta hai aur iss ki qeemat ke hissay ko juwaz paish karta hai  asal aur mutmaen shukriya daraz pk,0
pack kyunkay un  tea shirts mein se sirf  qabil qader thay jabkay un mein se  dhoney ke baad skrh gaye thay aur un ka size bilkul mukhtalif tha jo bohat mayoos kin tha aur meri asal tawaquaat ko thais pouncha tha,1
achi terhan se iss ke sath mera tajurbah mukammal tor par zabardast nahi tha fibrk ka miyaar asal mein achchca tha lekin silai koi achi cheez nahi thi aur gardan ka size waqai bara tha jo aik tha chore do aur inhen dhoney ke baad woh dheelay par gaye aur phir thora sa ghata bhi gaya lekin agar aap un ka mawazna iss qeemat se karte hain jis ki peshkash ki jarahi hai,1
