,Text,Sentiment
80,حدیثا الله کاذکر ایمان کاجھنڈا شیطان سے حفاظت کا قلعه اور بھڑکتی آگ (نارجهنم) سے نجات کاذریعه ھے )گلدستهء فقر صفحه118(,0.0
81,ایکس نیوز۰ محرم الحرام،ایکس نیوز کی جانب سے تمام مسلمانوں,0.0
82,اردو ٹرینڈ زیادہ بہتر رہے گا کپتان ڈیزل,0.0
83,بنوں میں مکانات کے کرائے بڑھ گئے ،متاثرین بکاخیل کیمپ جانے پر مجبور,1.0
84,ﻭﺍﮦ ﮐﯿﺎ ﺑﺎﺕ ﮨﮯ,0.0
85,شیخ جیسا بے شرم جسے میں اپنا چپڑاسی بھی نہ رکھو۔سچ ہی تو کہا ہے چپڑاسی نہیں رکھے گا پارٹنر بنائے گا۔,1.0
86,حلقہ خواتین کے تحت ملک بھر میں اجتماع عام کے سلسلے میں بریفنگ اور ملاقاتوں کا سلسلہ جاری,0.0
87,میں چاھتا بھی یھی تھا تو بے وفا نکلے ۔تجھے سمجھنے کا کوئی تو سلسلا نکلے !!,1.0
88,عمران بھائی اپ کے لطیفوں پر تو اب لوگ کا فی زور کا ہنستے ہیں ۔ آپ اپنے شوز کا ٹکٹ لگا لیں پیسے مل جائیں گے اور مانگنے کی شرمندگی بھی نہ ہو گی,0.0
89,تین چیزیں محبت بڑھانے کا ذریعه ھیں )1( سلام کرنا )2( دوسروں کے لیے مجلس میں جگه خالی کرنا )3( مخاطب کو بھترین نام سے پکارنا )حضرت عمر (,0.0
90,وقت کا تقاضا ہے کہ وسائل کی منصفانہ تقسیم کے لیے انتظامی بنیادوں پر صوبے بنائے جائیں ۔ انھیں مالی وسیاسی اختیارات دئے جائیں ۔ وفاق مشترکہ وحدت بنے ۔,0.0
91,لاہور: اگلے جلسے سے پہلے واپس آجائیں گے ۔,0.0
92,جناب اسپیکر آج سے نون لیگ کو منافق لیگ کا نام دیا جائے کیونکہ نون لیگ نے سچ تو کبھی بولنا نہیں,1.0
93,مک جائے نام تیرا سیاست کے فسانے سے تیرا رونا ہی بنتا ہے زمانے میں -,1.0
94,بھنگ کا نشہ ہے کہ اترتا ہی نہیں ہے ۔۔۔۔۔۔۔۔۔,1.0
95,کشکول توڑنے کا دعویٰ پاکستان کو قرضوں میں ڈبو گیا۔غیر ملکی قرضے 65 ارب ڈالر سے تجاوز۔ ہر پاکستانی 80،000 سے زائد روپے کا مقروض۔ قرضے 1600 کھرب تک پہنچ گئے,1.0
96,ایسا آسان حدف۔ بچوں والا میچ ہو گیا یہ تو۔ ہا ہا ہا ہا ہا,0.0
97,ﺍﺳﺘﯿﻌﻔﯽٰ ﻣﺎﻧﮕﻨﮯ ﻭﺍﻟﮯ ﭼﻨﺪﮦ ﻣﺎﻧﮕﻨﮯ ﭘﺮ ﺁﮔﺌﮯ۔۔۔,1.0
98,مریم نواز کی بحیثیت چیئرپرسن یوتھ لون اسکیم تقرری پر وفاقی حکومت سے جواب طلب: ہائی کورٹ نے …,1.0
99,لے دس میں سائیکو ہوتی تو اج خان کی طرح چندہ گن رہی ہوتی,1.0
100,انقلاب کی لغت میں مایوسی اور بے یقینی نہیں ہوتی۔ ڈاکٹر طاہر القادری انقلاب آنے کو ہے,0.0
101,رَبَّنَا وَتَقَبَّلْ دُعَاءاے میرے رب اور تو میری دُعا قبول فرما آمین یا رب العالمین,0.0
102,متروک مسترد کاسہ لیسوں کی کسی بھی مارچ کی حمایت کرنا تاریخی جرم ہوگا متروک-مسترد-کاسہ-لیسوں -کی-کسی-بھی-مارچ-ک/,0.0
103,پی آئی اے کو ایندھن کی ترسیل بحال رکھنا مشکل ہوگیا، پی ایس او: کراچی۔۔۔۔۔۔۔۔۔۔پی ایس او نے پا۔۔۔,1.0
104,لاہور: بڑا ہسپتال نہیں سیالکوٹ اور ہارون آباد میں چھوٹے یونٹس بنا رہی ہوں ۔ میرا,0.0
105,ان ہتھیاروں پر پابندی لگائی جائے :Pدوستوں کے ساتھ ضرور شئیر کریں ۔ شکریہ۔۔۔,0.0
106,عمران خاں زنا اور اپنے ناجائز بچوں کو پرائیویٹ معامله کھتا ھے کیا ایسے شخص کے پیچھے قوم کو چلنا چاھیے,1.0
107,لوٹ آنے کی امیدیں ٹوٹ پائی هی نهیں بند هو پائے نهیں هیں اب بهی در، کهنا اسے (ملک عدنان احمد),1.0
108,غذائی قلت کا شکار مزید دو بچے سول اسپتال مٹھی میں دم توڑ گئے : تھر پارکر۔۔۔۔۔۔۔۔تھر پارکر میں غذائی قلت کا شکار م۔۔۔,1.0
109,سٹی ٹریفک پولیس نے رواں ماہ کے دوران مجموعی طورپردوسوبارہ مقدمات درج کرائے,1.0
110,ﻣﺎﺩﺭ ﺟﻤﮩﻮﺭﯾﺖ ﺑﯿﮕﻢ ﻧﺼﺮﺕ ﺑﮭﭩﻮ ۔ﮧﺒﺣﺎﺍﯾﺮﺍﻥ ﮐﯽ ﺑﯿﭩﯽ ﻧﺼﺮﺕ ﺑﮭﭩﻮ ﭘﺎﮐﺴﺘﺎﻥ ﮐﯽ ۔۔۔ ۔ﯽﻨﺑ ﮞﺎﻣﺍﻧﮩﻮﮞ ﻧﮯ ﺳﻘﻮﻁ ﮈﻫﺎﮎ ﮐﮯ ﺑﻌﺪ ﺑﮑﻬﺮﮮ۔۔۔,0.0
111,مولانا فضل الرحمن سے ملاقات کیلئے گورنر پنجاب، وفاقی وزراء، مشیروں اور مذہبی رہنماؤں کا تانتا بندھارہا,0.0
112,انشا جی اٹھو اب کوچ کرو اس شہر میں جی کا لگانا کیا ہاہاہا اور یہ کہ کر قادری صاحب شہر اقتدار پر بہت بڑا احسان کر گے,0.0
113,لوگوں سے دھرنے کے لیے چندہ مانگنے والا اپنا 300 کنال کا بنی گالہ کا گھر کیوں نہیں پیج کر دھرنے خرچے پورے کرتا؟,0.0
114,اردو لغت میے نیا لفظ,0.0
115,دبئی: چوتھے دن کا کھیل ختم، آسٹریلیا کے 59 رنز، 4 کھلاڑی آئوٹ,0.0
116,شامی صاحب تو ایڈیٹر اور تجزیہ نگار ہیں میں رپورٹر ہوں جو اینٹ اٹھاتا ہوں بڑے بڑے کرپشن سکینڈل نکلتے تو میں جذباتی کیوں نہ ہوں :رؤف کلاسرا,1.0
117,قادری ﮐﺎ ﮐﻨﭩﯿﻨﺮ ﻇﮩﯿﺮ ﺍﻻﺍﺳﻼﻡ ﮐﻮ ﺍﻧﮑﯽ ﺭﯾﭩﺎﺋﺮﻣﻨﭧ ﮐﮯ ﭘﺮﻣﺴﺮﺕ ﻣﻮﻗﻊ ﭘﺮ ﺑﻄﻮﺭ ﺳﻮﯾﺌﻨﯿﺮ ﭘﯿﺶ ﮐﯿﺎ ﺟﺎﻧﺎ ﭼﺎﮬﯿﮯ,0.0
118,"اسلام آباد: مولانا فضل الرحمان پر حملے کے خلاف کل ملک بھر میں یوم مذمت منایا جائے گا، علامہ محمد احمد لدھیانوی""",1.0
119,حنیف محمد کے پوتے شہزر محمد نے پاکستان کرکٹ میں پی آئی اے کی طرف سے سنچری بنا کر ریکارڈ بک میں اپنا نام منفرد تعارف کے طو پر درج کرا دیا,0.0
120,اس ملک کو بدنام کرنے میی لفافہ صحافت نے باقی کسر پوری کردی,1.0
121,ایدھی سنٹر ڈکیتی: مرکزی ملزم سابقہ ملازم،2 گرفتار: کراچی ۔۔۔۔۔ شہر قائد میں ایدھی ٹرسٹ کے ہیڈ آفس میں ڈکیتی کرنے …,1.0
122,جس عہد میں لٹ جائے ایدھی کا چندہاس دور کا حاکم ہے کوئ گنجا,1.0
123,کراچی۔۔۔۔۔۔۔ سندھ ہائیکورٹ نے بحریہ ٹاؤن کلفٹن فلائی اوور کے خلاف حکم امتناع ختم کرتے ہوئے بحریہ ٹاؤن کو تعم۔۔۔,0.0
124,تمام اہل اسلام کو نیا اسلامی سال مبارک ہو ۔الله پاک یہ سال ہمارے لیئے رحمتوں اور برکتوں کا باعث بنائے ہمارے حال۔۔۔,0.0
125,بہت سے داغی آئے اور گئے لیکن کپتان اب بھی قوم کے ساتھ اسی جذبے سے کھڑاھے,0.0
126,ریالٹی تو یہ ہے ہمارے دونوں انقلابی گو نواز گو اور جلسوں کو اپنی کامیابی قرار دے رہے ہیں ۔یہ دونوں کام تو ان دھرنوں کے بغیر بھی ہو سکتے تھے,0.0
127,پاکستان کی ٹیم میں ،احمد شہزاد، محمد حفیظ، اظہر علی، یونس خان، مصباح الحق،اسد شفیق، سرفراز احمد، ذوالفقار بابر، عمران خان، یاسر شاہ، اور راحت علی شامل،,2.0
128,بالآخر تیری مصروفیت کے پیش نظریہ تہہ ہوا کے اب تجھے یاد نہ کیا جائے,0.0
129,پھلا ٹیسٹ پاکستان اسڑیلیا کے خلاف ٹاس جیت کربیٹنگ کافیصله خضربلوچ,0.0
130,تو کٹڑ مسلمان بن جا بھائی,0.0
131,خواجہ عمران نذیر نے مریضوں سے علاج معالجے کی سہولتوں سے متعلق دریافت کیا,0.0
132,وہ جو بیچتے تھے دوائے دل،،، وہ دکان اپنی بڑھا گئے ۔ شاہراہ دستور سے عوامی تحریک کے کارکنوں کی واپسی،، سی ڈی اے نے صفائی مہم شروع کردی,0.0
133,لاہوریوں نے اجتماع عام کے لیے دل کے دروزے کھول دیے ۔ ڈونرز کانفرنس میں ڈیڑھ کروڑ سے زائد رقم جمع کروا دی,0.0
134,عیش کرو۔۔کم پڑجائے تو بکرے کا سر بھی ہے,0.0
135,ابھی تو پارٹی شروع ہوئی ہے,0.0
136,سائن آوٹ کرو اور کوئی اچھی سی کتاب پڑھو۔آپ زیادہ آوٹنگ نہیں کرتے شائد۔ ٹویٹر سے باھر بھی نکلا کرو ۔,0.0
137,جس عہد میں لٹ جائے فقیروں کی کمائی ۔۔۔اس دور کے سلطاں سے کو ئی بھول ہو ئ ہے ۔۔۔,1.0
138,عوامی تحریک کے رہنماء کی کارکنوں کو آبائی علاقوں میں جا کر بلدیاتی انتخابات کی تیاری کرنے کی ہدایت,0.0
139,ایک کڑوڑ ستر لاکھ معذور افراد کو معاشرے نے بلکل دھتکارا ہوا ہے ۔۔۔۔۔بہت افسوس کی بات ہے,1.0
140,ہر کچھ عرصے بعد انقلاب کے نام پر یہ ناٹک اس خوف کے پیش نظر رچایا جاتا ہے کہ عوام کہیں حقیقی انقلاب کے لئے ہی کھڑے نہ ہو جائیں ۔,1.0
141,حضرت عمرؓ کی شان زاہدانہ,0.0
142,استعفیٰ کی بعد تو ہم پارلیمنٹ سے ہی باہر ہو جائیں گے قادری کی طرح ہمیں شرپسند عناصر کہا جائے گا,1.0
143,اس کی خاطر ھم نے اس کو چھوڑ دیا,1.0
144,فقیر وہ ہے جو اپنی غلطیوں پر اپنا احتساب کرے اور دوسروں کی اچھائیوں پر نظر ؟؟کھے نا کے دوسروں کو گالیاں دے اور خود کو فرشتہ سمجھے,0.0
145,عوامی تحریک کے سربراہ ڈاکٹر طاہر القادری کا واپس کینیڈا جانے کا فیصلہ,0.0
146,نواز شریف کی بھارت کے بعد اسرائیل کو خوش کرنے کی کوشش حکومت کی ناک کے عین نیچے اسرائیلی اسٹال,0.0
147,’’وہ‘‘چلاجائے ،’’ہم‘‘ آجائیں ،دھرنے والوں کیلئے یہی تبدیلی ہے ،حاصل بزنجو,1.0
148,سوشل میڈیا پہ تو ہر کوئی کچھ بھی کہہ لیتا ھے اگر آپ احمدیوں کے لئے پرنٹ یا الیکٹرونک میڈیا پہ آواز اٹھائو تو بات اے,0.0
149,فقیری اچھی پروہ جوآپ کولوگوں سے بے نیاز کردے نا کے وہ فقیری جس میں آپ لوگوں کی نیاز کے ہوں محتاج اور ہاتھ پھیلاتے پھریں سب کے سامنے,1.0
150,هم اپنے حصے کا پاکستان ساتھ لائے ، پهلے پاکستان بنایا پهر یهاں آئے ، خواجه اظهار ایم کیو ایم,0.0
151,گوجرہ میں قتل اور ڈکیتی کے گرفتار ملزمان کی نشاندہی پر اسلحہ برآمدپولیس نے قتل اور ڈکیتی کے گرفتار ملزمان کی۔۔۔,1.0
152,گو نواز گوگو قادری گوگو شہباز گوگو ذرداری گوگو بلاول گوگو ۔۔۔,1.0
153,ایم کیو ایم کا ملک گیر یوم سیاہ۔۔۔۔,1.0
154,لگتا ھے مونس الٰہی کو قادری صاحب نے خصوصی دعا سے نواز دیا ھے ۔ ۔ :),0.0
155,لاہور: چھاپہ مار ٹیم نے موقع سے مردار گوشت ھی برآمد کرلیا۔ عائشہ ممتاز,1.0
156,خدا کے لیے کوئی کینڈی کرش ساگا گیم کھیلنے کے لئے جو لوگ مجھ کو انوائیٹ کرتے ہیں ان سے جان چھڑوائے خدا لئے ۔۔۔,0.0
157,ساحر لدھانیوی ، عصمت چغتائی ، راجندر سنگھ بیدی ، علی سردار جعفری اور دیگر ترقی پسند ادیب ساحل سمندر پر اکٹھے ہیں ۔۔۔,0.0
158,کیاعمران خان صرف ٹوئٹر اور فیس بک پہ وزیر اعظم بن سکتا ہے ؟,1.0
159,تھرپارکر میں 21 دنوں میں 22 بچے غذائی قلت سے جاں بحق، سندھ حکومت غافل,1.0
160,بھائی کیا کہیں چاہ ہی ختم ہو گئی ہے ۔,1.0
161,لاہور: میٹروبس پر ۳۰ ارب خرچ ہوئے ۔,0.0
162,میں تحریک انصاف اور عوامی تحریک کے کارکنوں سے کہتا ہوں کہ اگر ہم سے کوئی سے کوئی بھی پیچھے ہٹے اسے چھوڑدینا، اگر ۔۔۔,1.0
163,عوامی ٹیکسوں سے حاصل ہونے والا پیسہ سیاسی مقاصد کے لئے استعمال نہیں کیا جاسکتا : لاہور ہائیکورٹ,0.0
164,دولت واقعی آزمائش ھے ۔ اساتذہ اور تحقیق کرنے والوں کیلئے ھمارا بجٹ صرف 10 ھزار ھوتا ھے جبکہ ساوں ڈ سسٹم والے ڈی جے کیلئے ستائیس لاکھ :)انصاف,1.0
165,جب تک ذندہ ہوں یہیں بیٹھوں :پاکستان خان وطن کی مٹی مجھے ایڑیاں رگڑنے دے مجھے یقین ہے کہ چشمہ یہیں سے نکلے گا,0.0
166,ﺍﮮ ﺁﺭ ﻭﺍﺋﯽ ﺩﯾﮑﮫ ﮐﺮ ﻣﯿﺮﮮ ﭘﺎﭘﺎ ﮐﻮ ﻣﺮﮔﯽ ﮐﮯﺩﻭﺭﮮ ﭘﮍﺗﮯ ﺗﮭﮯ ﻣﺒﺸﺮﻟﻘﻤﺎﻥ ﮐﻮ ﺩﯾﮑﮫ ﮐﺮ-- ﺣﻤﺰﮦﮐﻮ ﻟﻘﻮﮦ ﮨﻮ ﺟﺎﺗﺎ ﮨﮯ-- ﻣﺮﯾﻢﮔﻠﻮ ﺑﭩﻨﯽ,1.0
167,تمہارے پاؤں میں رکھ دی ہے شاعری اپنیکسی کو کون یوں اپنی کمائی دیتا ہے,0.0
168,اللہ آپ کا بھلا کرے ۔ یہی حضرت ہیں ۔آج بھی اسی حلیے میں تھے ۔ یہ فیصلہ کرنامشکل تھاکہ بدبوکامرکزکچراتھایا ان صاحب کے کپڑے,1.0
169,کیا کوئی دوست پاکستان کے ٹیسٹ میچ کے بارے میں بتا سکتا هے ۔ ساتھ ٹائم لازم لکھنا,0.0
